property_id,listing_id,mls_id,address,city,state,zip_code,latitude,longitude,location,price,beds,baths,full_baths,sqft,lot_size,year_built,stories,property_type,ui_property_type,listing_type,mls_status,search_status,price_per_sqft,hoa_fee,days_on_market,time_on_redfin,sold_date,is_hot,has_virtual_tour,has_video_tour,has_3d_tour,is_new_construction,listing_broker,data_source_id,market_id,has_insight,url,scraped_at,data_type,price_per_bed,price_per_bath,sqft_per_bed,bed_bath_ratio,home_age,price_segment,size_segment
76150082,205542905,1848716,3225 Heritage Square Dr #25,Colerain Twp,OH,45251,,,Colerain Twp.East,170000,2.0,2.0,2.0,1106.0,87834.0,1990.0,1.0,3,2,1,Active,1,154.0,300.0,,"{'value': 600286133, 'level': 1}",1649746800000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/3225-Heritage-Square-Dr-45251/unit-25/home/76150082,2025-07-26T15:01:18.833415,active,85000.0,85000.0,553.0,1.0,34.0,Moderate,Small
71384135,205541723,1848443,631 Charwood Dr,Union Twp,OH,45244,,,Union Twp.,237500,3.0,1.0,1.0,925.0,8233.0,1960.0,1.0,6,1,1,Active,1,257.0,,,"{'value': 604726406, 'level': 1}",1656054000000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/631-Charwood-Dr-45244/home/71384135,2025-07-26T15:01:18.833421,active,79166.66666666667,237500.0,308.3333333333333,3.0,64.0,Moderate,Small
78767225,205541229,1848709,7533 Juler Ave,Madeira,OH,45243,,,Madeira,559900,3.0,3.0,2.0,1748.0,11238.0,1951.0,,6,1,1,Active,1,320.0,,,"{'value': 606891734, 'level': 1}",1746774000000.0,False,True,False,False,False,,158,64,False,/OH/Cincinnati/7533-Juler-Ave-45243/home/78767225,2025-07-26T15:01:18.833427,active,186633.33333333334,186633.33333333334,582.6666666666666,1.0,73.0,Luxury,Medium
78942009,205540078,1848511,2829 Windon Dr,Colerain Twp,OH,45251,,,Colerain Twp.East,245000,3.0,1.5,1.0,1486.0,7492.0,1966.0,,6,1,1,Active,1,165.0,,,"{'value': 611801272, 'level': 1}",1743577200000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/2829-Windon-Dr-45251/home/78942009,2025-07-26T15:01:18.833433,active,81666.66666666667,163333.33333333334,495.3333333333333,2.0,58.0,Moderate,Medium
78971898,205495535,1848544,8354 Burns Ave,Cincinnati,OH,45216,,,Hartwell,469900,4.0,4.0,4.0,3335.0,17555.0,1890.0,2.0,6,1,1,Active,1,141.0,,,"{'value': 644227640, 'level': 1}",1241679600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/8354-Burns-Ave-45216/home/78971898,2025-07-26T15:01:18.833438,active,117475.0,117475.0,833.75,1.0,134.0,Upper_Mid,Very_Large
78833983,205394774,1847857,6355 Corbly Rd #19,Cincinnati,OH,45230,,,Mt. Washington,209900,2.0,1.5,1.0,1425.0,62317.0,1984.0,1.0,3,2,1,Active,1,147.0,311.0,,"{'value': 644227889, 'level': 1}",1630047600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/6355-Corbly-Rd-45230/unit-19/home/78833983,2025-07-26T15:01:18.833446,active,104950.0,139933.33333333334,712.5,1.3333333333333333,40.0,Moderate,Medium
100937906,205463040,1848400,818 Wm H Taft Rd,Cincinnati,OH,45206,,,Walnut Hills,299900,3.0,2.0,2.0,1178.0,3093.0,2002.0,3.0,6,1,1,Active,1,255.0,,,"{'value': 644228041, 'level': 1}",1603177200000.0,False,True,False,False,False,,158,64,False,/OH/Cincinnati/818-William-Howard-Taft-Rd-45206/home/100937906,2025-07-26T15:01:18.833452,active,99966.66666666667,149950.0,392.6666666666667,1.5,22.0,Moderate,Small
101045488,205443297,1848118,8733 Apalachee Dr,Symmes Twp,OH,45249,,,Symmes Twp.,598000,3.0,2.5,2.0,2052.0,14244.0,1978.0,2.0,6,1,1,Active,1,291.0,,,"{'value': 644228388, 'level': 1}",,False,False,False,False,False,,158,64,False,/OH/Cincinnati/8733-Apalachee-Dr-45249/home/101045488,2025-07-26T15:01:18.833459,active,199333.33333333334,239200.0,684.0,1.2,46.0,Luxury,Large
76150997,205531682,1848401,8700 Hopewell Rd,Indian Hill,OH,45242,,,Indian Hill,1895000,5.0,6.0,5.0,4867.0,178596.0,1944.0,2.0,6,1,1,Active,1,389.0,,,"{'value': 658150702, 'level': 1}",1530255600000.0,False,False,False,False,False,,158,64,False,/OH/Cincinnati/8700-Hopewell-Rd-45242/home/76150997,2025-07-26T15:01:18.833467,active,379000.0,315833.3333333333,973.4,0.8333333333333334,80.0,Ultra_Luxury,Mansion
63723269,205531618,1848650,144 Lafayette Ln,Cincinnati,OH,45220,,,Clifton,1075000,4.0,4.0,4.0,2862.0,50791.0,1961.0,2.0,6,1,1,Active,1,376.0,,,"{'value': 658266959, 'level': 1}",1431586800000.0,False,True,False,False,False,,158,64,False,/OH/Cincinnati/144-Lafayette-Ln-45220/home/63723269,2025-07-26T15:01:18.833474,active,268750.0,268750.0,715.5,1.0,63.0,Ultra_Luxury,Very_Large
